,WEEK,LECTURE,LINK
21,"




          Week 3
      
","
                                  Lecture 7 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/25
22,"




          Week 3
      
","
                                  Assignment 3
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/60
23,"




          Week 3
      
","
                                  Assignment 3 discussion-part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/62
24,"




          Week 3
      
","
                                  Assignment-3 discussion Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/63
25,"




          Week 4
      
","
                                  Lecture 8 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/26
26,"




          Week 4
      
","
                                  Lecture 8 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/27
27,"




          Week 4
      
","
                                  Lecture 9 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/28
28,"




          Week 4
      
","
                                  Lecture 9 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/29
29,"




          Week 4
      
","
                                  Lecture 10 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/30
30,"




          Week 4
      
","
                                  Lecture 10 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/107
31,"




          Week 4
      
","
                                  Assignment 4
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/100
32,"




          Week 4
      
","
                                  Assignment4 discussion-part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/103
33,"




          Week 4
      
","
                                  Assignment4 discussion -part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/104
34,"




          Week 4
      
","
                                  First Quiz Solutions
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/131
35,"




          week 5
      
","
                                  Lecture 11 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/32
36,"




          week 5
      
","
                                  Assignment 5 discussion-part C
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/128
37,"




          week 5
      
","
                                  Lecture 11 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/121
38,"




          week 5
      
","
                                  Lecture 12 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/34
39,"




          week 5
      
","
                                  Lecture 12 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/35
40,"




          week 5
      
","
                                  Assignment 5
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/109
41,"




          week 5
      
","
                                  Assignment 5 discussion-part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/126
42,"




          week 5
      
","
                                  Assignment5- discussion part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/127
43,"




          Week 6
      
","
                                  Lecture 13 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/36
44,"




          Week 6
      
","
                                  Lecture 13 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/37
45,"




          Week 6
      
","
                                  Lecture 14 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/38
46,"




          Week 6
      
","
                                  Lecture 14 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/39
47,"




          Week 6
      
","
                                  Lecture 15 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/111
48,"




          Week 6
      
","
                                  Lecture 15 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/133
49,"




          Week 6
      
","
                                  Assignment 6
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/125
50,"




          Week 6
      
","
                                  Assignment 6 Discussion Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/130
51,"




          Week 6
      
","
                                  Assignment 6 Discussion Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/129
52,"




          Week 6
      
","
                                  mid sem subjective solutions
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/172
53,"




          Week 6
      
","
                                  mid sem objective solutions
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/173
54,"




          Week 7
      
","
                                  Lecture 16 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/136
55,"




          Week 7
      
","
                                  Lecture 16 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/140
56,"




          Week 7
      
","
                                  Assignment 7
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/171
57,"




          Week 9
      
","
                                  Lecture 17 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/174
58,"




          Week 9
      
","
                                  Lecture 17 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/177
59,"




          Week 9
      
","
                                  Lecture 18 Part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/182
60,"




          Week 9
      
","
                                  Lecture 18 Part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/180
61,"




          Week 9
      
","
                                  Assignment 7 discussion-part A
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/184
62,"




          Week 9
      
","
                                  Assignment 7 discussion-part B
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/186
63,"




          Week 9
      
","
                                  Lecture-19: Definition, Order and Linearity of ODE
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/192
64,"




          Week 10
      
","
                                  Lecture-20: Notion of Solution, Initial and Boun...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/193
65,"




          Week 10
      
","
                                  Lecture-21: Picard's Iteration and Total Differe...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/194
66,"




          Week 10
      
","
                                  Assignment-08: Instructor's Part
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/195
67,"




          Week 11
      
","
                                  Lecture-22: Separable and Homogeneous ODE
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/205
68,"




          Week 11
      
","
                                  Lecture-23: Exact ODE and Integrating Factor
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/206
69,"




          Week 11
      
","
                                  Lecture-24: First Order Linear, Bernoulli and Mo...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/207
70,"




          Week 11
      
","
                                  Assignment-09: Instructor's part
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/209
71,"




          Week 12
      
","
                                  Lecture-25: Method of Isoclines, Oblique and Ort...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/210
72,"




          Week 12
      
","
                                  Lecture-26: Higher Order (Linear) ODE and Dimens...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/211
73,"




          Week 12
      
","
                                  Lecture-27: Linear Independence of Solutions Vs ...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/212
74,"




          Week 12
      
","
                                  Assignment-10: Instructor's part
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/215
75,"




          Week 13
      
","
                                  Lecture-28: Linear Homogeneous and Constant Coef...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/222
76,"




          Week 13
      
","
                                  Lecture29-30: Linear Inhomogeneous ODE with Cons...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/233
77,"




          Week 13
      
","
                                  Assignment-11: Instructor's part
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/235
78,"




          Week 14
      
","
                                  Lecture-31: Linear Variable Coefficients:Method ...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/266
79,"




          Week 14
      
","
                                  Lecture-32: Method of Power Series: Ordinary and...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/267
80,"




          Week 14
      
","
                                  Lecture-33-34: Regular Singular Point, Frobenius...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/268
81,"




          Week 14
      
","
                                  Assignment-12: Instructor's part
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/269
82,"




          Week 15
      
","
                                  Lecture-35: Laplace Transform: Definition and Ex...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/272
83,"




          Week 15
      
","
                                  Lecture-36: Properties and Application of Laplac...
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/273
84,"




          Week 15
      
","
                                  Assignment-13: Instructor's part
                              ",https://hello.iitk.ac.in/esc201a21/#/lecture/275
